,name,address,sido,gugun
0,흥덕지구점,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호",경기도,용인시
1,후곡점,경기도 고양시 일산서구  일산로 576,경기도,고양시
2,효자중화산1호점,전라북도 전주시완산구  안행로 154,전라북도,전주시완산구
3,회덕점,경기도 광주시  이배재로 108,경기도,광주시
4,황상인의점,경상북도 구미시  여현로 80,경상북도,구미시
5,화천점,강원도 화천군 화천읍 중앙로 37번지,강원도,화천군
6,화정1동점,경기도 고양시 덕양구  은빛로29번길 15-4,경기도,고양시
7,화양점,"서울특별시 광진구   능동로19길 53, 1층",서울특별시,광진구
8,화성반월점,"경기도 화성시  효행로1265번길 17, 101호",경기도,화성시
9,화성마도점,경기도 화성시 마도면 두곡서길 35 1층,경기도,화성시
10,화성남양점,경기도 화성시 남양동 남양도시개발구역 2-1블럭 화성남양상가 103,경기도,화성시
11,화서1동점,경기도 수원시 팔달구 화서동 219-1번지 101호,경기도,수원시
12,화북삼양점,제주도 제주시  진동로1길 13,제주도,제주시
13,화곡본동점,서울특별시 강서구 화곡동 29-27,서울특별시,강서구
14,화곡4동점,서울특별시 강서구 화곡4동 827-8번지,서울특별시,강서구
15,화곡1동점,서울특별시 강서구  곰달래로 19길 46 1층,서울특별시,강서구
16,홍천점,강원도 홍천군 홍천읍 연봉리 502-5번지,강원도,홍천군
17,홍제2호점,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호",서울특별시,서대문구
18,홍제1호점,서울특별시 서대문구 홍제동 155-6번지,서울특별시,서대문구
19,홍은2동점,"서울특별시 서대문구  백련사길 6, 1층",서울특별시,서대문구
20,홍성읍점,충청남도 홍성군 홍성읍 문화로 33번길 10,충청남도,홍성군
21,홍농읍점,"전라남도 영광군 홍농읍 상하길 33, 102호",전라남도,영광군
22,호평점,경기도 남양주시 호평동 615-6,경기도,남양주시
23,호원1호점,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)",경기도,의정부시
24,호수동점,"경기도 안산시 단원구  광덕2로 194-8,108호",경기도,안산시
25,호매실점,"경기도 수원시 권선구  서수원로523번길 30-35, 101호",경기도,수원시
26,호계점,"경기도  안양시 동안구  엘에스로 45, 1층 117호(호계동, 대영골든타워)",경기도,안양시
27,현풍점,대구광역시 달성군 현풍면 현풍중앙로14길 85,대구광역시,달성군
28,헬리오시티점,"서울특별시 송파구  송파대로37길 88, 2층(석촌동)",서울특별시,송파구
29,향남지구점,경기도 화성시 향남읍 행정서로3길 4-16,경기도,화성시
30,향남2지구점,"경기도 화성시 향남읍 상신하길로298번길 7-27, 1층 111호",경기도,화성시
31,행신2호점,"경기도 고양시 덕양구  중앙로 478, 109호",경기도,고양시
32,행당점,서울특별시 성동구  행당로 79,서울특별시,성동구
33,해운대중동점,"부산광역시 해운대구  달맞이길65번길 15, 103호",부산광역시,해운대구
34,해남점,전라남도 해남군 해남읍 법원길4,전라남도,해남군
35,함열점,전라북도 익산시 함열읍 함열1길 28,전라북도,익산시
36,함안칠원점,경상남도 함안군 칠원읍 구성길 43,경상남도,함안군
